FID,ROW,COL,delx,dely,area,I,J,IBND,X,Y
68,1,69,100,100,10000,1,69,0,567750,142750
69,1,70,100,100,10000,1,70,0,567850,142750
70,1,71,100,100,10000,1,71,0,567950,142750
71,1,72,100,100,10000,1,72,0,568050,142750
72,1,73,100,100,10000,1,73,0,568150,142750
73,1,74,100,100,10000,1,74,0,568250,142750
74,1,75,100,100,10000,1,75,0,568350,142750
75,1,76,100,100,10000,1,76,0,568450,142750
76,1,77,100,100,10000,1,77,0,568550,142750
77,1,78,100,100,10000,1,78,0,568650,142750
78,1,79,100,100,10000,1,79,0,568750,142750
79,1,80,100,100,10000,1,80,0,568850,142750
80,1,81,100,100,10000,1,81,0,568950,142750
81,1,82,100,100,10000,1,82,0,569050,142750
82,1,83,100,100,10000,1,83,0,569150,142750
83,1,84,100,100,10000,1,84,0,569250,142750
84,1,85,100,100,10000,1,85,0,569350,142750
85,1,86,100,100,10000,1,86,0,569450,142750
86,1,87,100,100,10000,1,87,0,569550,142750
87,1,88,100,100,10000,1,88,0,569650,142750
88,1,89,100,100,10000,1,89,0,569750,142750
89,1,90,100,100,10000,1,90,0,569850,142750
90,1,91,100,100,10000,1,91,0,569950,142750
91,1,92,100,100,10000,1,92,0,570050,142750
92,1,93,100,100,10000,1,93,0,570150,142750
93,1,94,100,100,10000,1,94,0,570250,142750
94,1,95,100,100,10000,1,95,0,570350,142750
95,1,96,100,100,10000,1,96,0,570450,142750
96,1,97,100,100,10000,1,97,0,570550,142750
97,1,98,100,100,10000,1,98,0,570650,142750
98,1,99,100,100,10000,1,99,0,570750,142750
99,1,100,100,100,10000,1,100,0,570850,142750
100,1,101,100,100,10000,1,101,0,570950,142750
101,1,102,100,100,10000,1,102,0,571050,142750
102,1,103,100,100,10000,1,103,0,571150,142750
103,1,104,100,100,10000,1,104,0,571250,142750
104,1,105,100,100,10000,1,105,0,571350,142750
105,1,106,100,100,10000,1,106,0,571450,142750
106,1,107,100,100,10000,1,107,0,571550,142750
107,1,108,100,100,10000,1,108,0,571650,142750
108,1,109,100,100,10000,1,109,0,571750,142750
109,1,110,100,100,10000,1,110,0,571850,142750
110,1,111,100,100,10000,1,111,0,571950,142750
111,1,112,100,100,10000,1,112,0,572050,142750
112,1,113,100,100,10000,1,113,0,572150,142750
113,1,114,100,100,10000,1,114,0,572250,142750
114,1,115,100,100,10000,1,115,0,572350,142750
115,1,116,100,100,10000,1,116,0,572450,142750
116,1,117,100,100,10000,1,117,0,572550,142750
117,1,118,100,100,10000,1,118,0,572650,142750
118,1,119,100,100,10000,1,119,0,572750,142750
119,1,120,100,100,10000,1,120,0,572850,142750
120,1,121,100,100,10000,1,121,0,572950,142750
121,1,122,100,100,10000,1,122,0,573050,142750
122,1,123,100,100,10000,1,123,0,573150,142750
123,1,124,100,100,10000,1,124,0,573250,142750
124,1,125,100,100,10000,1,125,0,573350,142750
125,1,126,100,100,10000,1,126,0,573450,142750
126,1,127,100,100,10000,1,127,0,573550,142750
127,1,128,100,100,10000,1,128,0,573650,142750
128,1,129,100,100,10000,1,129,0,573750,142750
129,1,130,100,100,10000,1,130,0,573850,142750
130,1,131,100,100,10000,1,131,0,573950,142750
131,1,132,100,100,10000,1,132,0,574050,142750
132,1,133,100,100,10000,1,133,0,574150,142750
133,1,134,100,100,10000,1,134,0,574250,142750
134,1,135,100,100,10000,1,135,0,574350,142750
135,1,136,100,100,10000,1,136,0,574450,142750
136,1,137,100,100,10000,1,137,0,574550,142750
137,1,138,100,100,10000,1,138,0,574650,142750
138,1,139,100,100,10000,1,139,0,574750,142750
139,1,140,100,100,10000,1,140,0,574850,142750
140,1,141,100,100,10000,1,141,0,574950,142750
141,1,142,100,100,10000,1,142,0,575050,142750
142,1,143,100,100,10000,1,143,0,575150,142750
143,1,144,100,100,10000,1,144,0,575250,142750
144,1,145,100,100,10000,1,145,0,575350,142750
145,1,146,100,100,10000,1,146,0,575450,142750
146,1,147,100,100,10000,1,147,0,575550,142750
147,1,148,100,100,10000,1,148,0,575650,142750
148,1,149,100,100,10000,1,149,0,575750,142750
149,1,150,100,100,10000,1,150,0,575850,142750
150,1,151,100,100,10000,1,151,0,575950,142750
151,1,152,100,100,10000,1,152,0,576050,142750
152,1,153,100,100,10000,1,153,0,576150,142750
153,1,154,100,100,10000,1,154,0,576250,142750
154,1,155,100,100,10000,1,155,0,576350,142750
155,1,156,100,100,10000,1,156,0,576450,142750
156,1,157,100,100,10000,1,157,0,576550,142750
157,1,158,100,100,10000,1,158,0,576650,142750
158,1,159,100,100,10000,1,159,0,576750,142750
159,1,160,100,100,10000,1,160,0,576850,142750
160,1,161,100,100,10000,1,161,0,576950,142750
161,1,162,100,100,10000,1,162,0,577050,142750
162,1,163,100,100,10000,1,163,0,577150,142750
163,1,164,100,100,10000,1,164,0,577250,142750
164,1,165,100,100,10000,1,165,0,577350,142750
165,1,166,100,100,10000,1,166,0,577450,142750
166,1,167,100,100,10000,1,167,0,577550,142750
167,1,168,100,100,10000,1,168,0,577650,142750
168,1,169,100,100,10000,1,169,0,577750,142750
169,1,170,100,100,10000,1,170,0,577850,142750
